2025-04-10T20:54:51.297596+0800 INFO aggregate alpha: 0.009731816636888126 (cossim: 0.9991249442100525, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.0.bn2.running_var
2025-04-10T20:54:51.298591+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.0.bn2.num_batches_tracked
2025-04-10T20:54:51.299587+0800 INFO aggregate alpha: 0.008093621494514758 (cossim: 0.9999946355819702, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.0.downsample.0.weight
2025-04-10T20:54:51.300583+0800 INFO aggregate alpha: 0.008367654175320401 (cossim: 0.9999998807907104, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.weight
2025-04-10T20:54:51.301578+0800 INFO aggregate alpha: 0.008252939207230867 (cossim: 0.9988557696342468, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.bias
2025-04-10T20:54:51.301578+0800 INFO aggregate alpha: 0.009452090935348816 (cossim: 0.9997074007987976, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.running_mean
2025-04-10T20:54:51.302574+0800 INFO aggregate alpha: 0.009477915398336945 (cossim: 0.9985722899436951, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.running_var
2025-04-10T20:54:51.303570+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.0.downsample.1.num_batches_tracked
2025-04-10T20:54:51.304571+0800 INFO aggregate alpha: 0.008147813599707236 (cossim: 0.9999109506607056, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.conv1.weight
2025-04-10T20:54:51.305561+0800 INFO aggregate alpha: 0.008605766656704743 (cossim: 0.9999998807907104, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn1.weight
2025-04-10T20:54:51.349381+0800 INFO aggregate alpha: 0.008467068399805553 (cossim: 0.9991647601127625, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn1.bias
2025-04-10T20:54:51.350375+0800 INFO aggregate alpha: 0.00874393876294687 (cossim: 0.9956874251365662, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn1.running_mean
2025-04-10T20:54:51.350375+0800 INFO aggregate alpha: 0.009843520893231273 (cossim: 0.999203085899353, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn1.running_var
2025-04-10T20:54:51.351372+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn1.num_batches_tracked
2025-04-10T20:54:51.352368+0800 INFO aggregate alpha: 0.008175317507343011 (cossim: 0.9999309182167053, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.conv2.weight
2025-04-10T20:54:51.353362+0800 INFO aggregate alpha: 0.00791426415106824 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn2.weight
2025-04-10T20:54:51.354359+0800 INFO aggregate alpha: 0.008318356330602345 (cossim: 0.9989482760429382, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn2.bias
2025-04-10T20:54:51.355353+0800 INFO aggregate alpha: 0.008571989903248792 (cossim: 0.9979865550994873, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn2.running_mean
2025-04-10T20:54:51.355353+0800 INFO aggregate alpha: 0.00980999203089026 (cossim: 0.999211847782135, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn2.running_var
2025-04-10T20:54:51.356350+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer2.1.bn2.num_batches_tracked
2025-04-10T20:54:51.359336+0800 INFO aggregate alpha: 0.00815555754863971 (cossim: 0.9999617338180542, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.conv1.weight
2025-04-10T20:54:51.361328+0800 INFO aggregate alpha: 0.007923318179824675 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn1.weight
2025-04-10T20:54:51.361328+0800 INFO aggregate alpha: 0.008017622033632637 (cossim: 0.9990218281745911, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn1.bias
2025-04-10T20:54:51.362325+0800 INFO aggregate alpha: 0.009407438753747752 (cossim: 0.9947346448898315, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn1.running_mean
2025-04-10T20:54:51.363318+0800 INFO aggregate alpha: 0.009777355152817531 (cossim: 0.9969000816345215, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn1.running_var
2025-04-10T20:54:51.364315+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn1.num_batches_tracked
2025-04-10T20:54:51.367304+0800 INFO aggregate alpha: 0.00815736129196607 (cossim: 0.9999502897262573, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.conv2.weight
2025-04-10T20:54:51.368299+0800 INFO aggregate alpha: 0.00823588839472957 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn2.weight
2025-04-10T20:54:51.369295+0800 INFO aggregate alpha: 0.008310283978910765 (cossim: 0.9969581365585327, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn2.bias
2025-04-10T20:54:51.370289+0800 INFO aggregate alpha: 0.009590260216620973 (cossim: 0.9958881735801697, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn2.running_mean
2025-04-10T20:54:51.370289+0800 INFO aggregate alpha: 0.00977489248524548 (cossim: 0.9960169792175293, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn2.running_var
2025-04-10T20:54:51.371283+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn2.num_batches_tracked
2025-04-10T20:54:51.372282+0800 INFO aggregate alpha: 0.008174119013832895 (cossim: 0.9999970197677612, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.0.weight
2025-04-10T20:54:51.372282+0800 INFO aggregate alpha: 0.0077980194617395145 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.1.weight
2025-04-10T20:54:51.373275+0800 INFO aggregate alpha: 0.008310283978910765 (cossim: 0.9969581365585327, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.1.bias
